,Refrigerator,Kitchen_outlet1,Kitchen_outlet2,Microwave,Lighting
1569,175,,,,
1570,175,,,,
1571,174,,,,
1572,174,,,,
1573,174,,,,
1574,174,,,,
1575,174,,,,
1576,173,,,,
1577,173,,,,
1578,173,,,,
1579,173,,,,
1580,172,,,,
1581,172,,,,
1582,172,,,,
1583,172,,,,
1584,172,,,,
1585,171,,,,
1586,171,,,,
1587,171,,,,
1588,171,,,,
1589,170,,,,
1590,170,,,,
1591,170,,,,
1592,170,,,,
1593,170,,,,
1594,169,,,,
1595,169,,,,
1596,169,,,,
1597,169,,,,
1598,168,,,,
1599,168,,,,
1600,168,,,,
1601,168,,,,
1602,168,,,,
1603,167,,,,
1604,167,,,,
1605,167,,,,
1606,167,,,,
1607,166,,,,
1608,166,,,,
1609,166,,,,
1610,166,,,,
1611,166,,,,
1612,165,,,,
1613,165,,,,
1614,165,,,,
1615,165,,,,
1616,164,,,,
1617,164,,,,
1618,164,,,,
1619,164,,,,
1620,164,,,,
1621,163,,,,
1622,163,,,,
1623,163,,,,
1624,163,,,,
1625,162,,,,
1626,162,,,,
1627,162,,,,
1628,162,,,,
1629,162,,,,
1630,161,,,,
1631,161,,,,
1632,161,,,,
1633,161,,,,
1634,160,,,,
1635,160,,,,
1636,160,,,,
1637,160,,,,
1638,159,,,,
1639,159,,,,
1640,159,,,,
1641,159,,,,
1642,159,,,,
1643,158,,,,
1644,158,,,,
1645,158,,,,
1646,158,,,,
1647,157,,,,
1648,157,,,,
1649,157,,,,
1650,157,,,,
1651,157,,,,
1652,156,,,,
1653,156,,,,
1654,156,,,,
1655,156,,,,
1656,155,,,,
1657,155,,,,
1658,155,,,,
1659,155,,,,
1660,155,,,,
1661,154,,,,
1662,154,,,,
1663,154,,,,
1664,154,,,,
1665,153,,,,
1666,153,,,,
1667,153,,,,
1668,198,,,,
1669,196,,,,
1670,195,,,,
1671,193,,,,
1672,192,,,,
1673,190,,,,
1674,188,,,,
1675,187,,,,
1676,185,,,,
1677,184,,,,
1678,182,,,,
1679,180,,,,
1680,179,,,,
1681,177,,,,
1682,176,,,,
1683,174,,,,
1684,172,,,,
1685,171,,,,
1686,169,,,,
1687,168,,,,
1688,166,,,,
1689,164,,,,
1690,163,,,,
1691,161,,,,
1692,160,,,,
1693,158,,,,
1694,156,,,,
1695,155,,,,
1696,153,,,,
1697,152,,,,
1698,150,,,,
1699,185,,,,
1700,184,,,,
1701,183,,,,
1702,181,,,,
1703,180,,,,
1704,179,,,,
1705,178,,,,
1706,176,,,,
1707,175,,,,
1708,174,,,,
1709,173,,,,
1710,171,,,,
1711,170,,,,
1712,169,,,,
1713,168,,,,
1714,166,,,,
1715,165,,,,
1716,164,,,,
1717,163,,,,
1718,161,,,,
1719,160,,,,
1720,159,,,,
1721,158,,,,
1722,156,,,,
1723,155,,,,
1724,154,,,,
1725,185,,,,
1726,184,,,,
1727,182,,,,
1728,181,,,,
1729,179,,,,
1730,178,,,,
1731,176,,,,
1732,175,,,,
1733,174,,,,
1734,172,,,,
1735,171,,,,
1736,169,,,,
1737,168,,,,
1738,166,,,,
1739,165,,,,
1740,163,,,,
1741,162,,,,
1742,161,,,,
1743,159,,,,
1744,158,,,,
1745,156,,,,
1746,155,,,,
1747,153,,,,
1748,152,,,,
1749,180,,,,
1750,179,,,,
1751,178,,,,
1752,177,,,,
1753,175,,,,
1754,174,,,,
1755,173,,,,
1756,172,,,,
1757,171,,,,
1758,170,,,,
1759,169,,,,
1760,168,,,,
1761,166,,,,
1762,165,,,,
1763,164,,,,
1764,163,,,,
1765,162,,,,
1766,161,,,,
1767,160,,,,
1768,159,,,,
1769,157,,,,
1770,156,,,,
1771,155,,,,
1772,154,,,,
1773,150,,,,
1774,150,,,,
1775,122,,,,
1776,125,,,,
1777,128,,,,
1778,131,,,,
1779,134,,,,
1780,138,,,,
1781,141,,,,
1782,144,,,,
1783,147,,,,
1784,150,,,,
1785,153,,,,
1786,183,,,,
1787,182,,,,
1788,180,,,,
1789,179,,,,
1790,178,,,,
1791,176,,,,
1792,175,,,,
1793,174,,,,
1794,172,,,,
1795,171,,,,
1796,170,,,,
1797,168,,,,
1798,167,,,,
1799,165,,,,
1800,164,,,,
1801,163,,,,
1802,161,,,,
1803,160,,,,
1804,159,,,,
1805,157,,,,
1806,156,,,,
1807,155,,,,
1808,153,,,,
1809,152,,,,
